,Comment,Likes,Time,UserLink,user
147,After watching literally anything your brain is not the same ...,"
    8.5K
  ",4 years ago,/channel/UCGg7sieCe-yCcl67QNlVsrQ,"
              Leo Koutakis
            "
148,"Lemme Summaries this:- 
""Everything you do, everything you encounter and everything you experience is changing your brain."" 
Mic Drop!🎤","
    401
  ",4 months ago,/channel/UCsJSqu2_a2lwYg3PZmkO8Cw,"
              Bigyan Patel
            "
149,"To whoever reading this, I pray for your health, wealth, happiness, strength and peace of mind. Have a wonderful day:)","
    1.5K
  ",6 months ago,/channel/UCBRPtKG-2hNmrYCid6OBaww,"
              Krithika Ramakrishnan
            "
150,Amazing this truely shifts my perspective on learning,"
    22
  ",4 months ago,/channel/UCrfPIyyGHufzvJi5Abl-2aQ,"
              True CaliDad
            "
151,"Excellent talk. I'll listen to her 5 more times and then I'll be changed. Of all the things I've lost, it's my brain I miss the most.","
    19
  ",5 months ago,/channel/UCBcsaLVox_kPGer7X8HrzWg,"
              Dennis Francisco
            "
152,The brain is the most important organ in the body...according to the brain.,"
    15K
  ",4 years ago,/channel/UC_ASDPz91mPCfk1gvGqN4ZQ,"
              Open Air Adventure
            "
153,"15 minutes in 1 sentence: ur brain can change, end of story","
    471
  ",7 months ago,/channel/UCBnJpspc8WXUx6aJ8doI2Rg,"
              Filmdude
            "
154,"“When you leave today, go out and build the brain you want”

Manifest and PRACTICE the positive things that will give a healthy long term life for your brain. This really changed my perspective moving forward. I’m so glad I came across this!","
    136
  ",2 months ago,/channel/UCHWIE2NZRyaSNebbw6IFRFA,"
              Alex S
            "
155,"After watching this, everytime I study I'll say ""I'm changing the structure of my brain""","
    115
  ",4 months ago,/channel/UCMpBGOz2CjgZnl_Y8VWREZA,"
              Ar Az
            "
156,"9 minutes in and I'm still clueless, my brain just can't","
    117
  ",5 months ago,/channel/UCv24q7CUzBghl_z2ZE85axg,"
              Lebitso Mokhina
            "
157,When will ted himself show up to the talk?,"
    2.8K
  ",8 months ago,/channel/UCuFVb0w0jD4cDS4vn0Le39w,"
              Ravindra Banchhod
            "
158,"""There's no point having a mind if you cannot change it""

James O'brien LBC radio","
    74
  ",1 month ago,/channel/UCOnKXn9SRcThyS0qKy5qrDg,"
              d Lon
            "
159,So basically meditation and internal positive talk is magic,"
    69
  ",3 months ago,/channel/UC-V5xJyDZdeuXioBXkyw3UA,"
              Br Lb
            "
160,"This is what scares me😂, you keep changing over time forgetting skills you spend a lot of time learning","
    5
  ",2 weeks ago,/channel/UCbKvndIQ_YTOq5N30EnVqcg,"
              Elvis Edison
            "
161,"""Go out and build the brain you want"" 🤩🤩🤩","
    46
  ",3 months ago,/channel/UCzgyNR8HpvtV4suMaI-RXjA,"
              Yoanna Salazar
            "
162,"So main point:
1. Practice - hard work works
2. Everyone learns differently 

That is why we need personalised education!","
    2.7K
  ",5 years ago,/channel/UCYw05gb3c3F54TitmSNnfMw,"
              Milind Joshi
            "
163,"I agree that everyone learns in a different way. For instance, I consider myself a good reader, I can write, but my brain does not allow me to understand the content of texts (even written by myself), I have almost no short term memory or processing memory. This makes it very hard to learn anything via normal education. But somehow by creating all kinds of tools for myself, I managed to get a degree on university level.
I could imagine that people who had a stroke could have the same problem. In that case 'work hard and then you learn something because the chemical changes in your brain' doesn't really apply. The focus should be on giving people  tools to be able to process the information properly before they start learning anything.","
    0
  ",12 hours ago,/channel/UCWofBiiSGYy7kPDUb1deevQ,"
              Pawz
            "
164,"Look, how much confidence she have
In fromt of speaking 1000s of people","
    59
  ",5 months ago,/channel/UC_eveoWQzkV9ZimikVNsYhQ,"
              Ishwinder Singh291
            "
165,Conclusion: -Every brain is unique and requires its own personalized learning pattern. That insight unfortunately did not change my brain a lot.,"
    111
  ",7 months ago,/channel/UCLUzco5o31aYRk_lIbq0wzw,"
              Torbjörn Hornliden
            "
166,Lol when you think of quieting the mind and stop thinking you still thinking of not thinking you just can’t win😂,"
    0
  ",3 hours ago,/channel/UCOOLfD7gtSoeOtjdku78Eyg,"
              Hlogi Lehlogonolo
            "
167,Learning about the brain is just a brain trying to understand itself.,"
    2K
  ",1 year ago,/channel/UC5BbxaPL2hVXgZbffTg1tAA,"
              Arthur Adutt
            "
168,"The one thing that really helped me to fall in love with myself and my life was Forwago. I can not believe how much happier person I am now than I was before. Please love yourself, it is one of the easiest ways to dramatically improve your life.","
    2
  ",1 month ago,/channel/UChn0S2CnqB0Wu0hs7IGIQ5A,"
              FF.S Fima F96
            "
169,“Every champion was once a contender that didn’t give up.” – Gabby Douglas,"
    22
  ",1 month ago,/channel/UCY-Zhg50hu3KTko6A4rds5g,"
              2 Hours of Meditation
            "
170,Everything you see and hear changes you.  That's why I don't watch the news.,"
    38
  ",5 months ago,/channel/UCwM54DE14CKrGkYzTos1hAw,"
              Blondie 267
            "
171,"I can sum up her talk in one sentence: ""practice makes perfect"". Simple.","
    34
  ",6 months ago,/channel/UC_of_sqFmklXOV2r6q7-oBA,"
              Jay Social
            "
172,"To save you 15 minutes of your time, practicing a skill will help you learn it. You're welcome.","
    3.5K
  ",4 years ago,/channel/UCB5Jlo3gjW1l4G8iBI2zFrQ,"
              Keith Magee
            "
173,This was a good talk. But it’s sad how often neuroscientists overlook meditation and psilocybin.,"
    48
  ",5 months ago,/channel/UC6dSZGDFPZ1GxU2R7z5MNCw,"
              Curtis K
            "
174,"The brain is so complex it doesn't understand itself, think bout that.","
    944
  ",7 months ago,/channel/UCIaSBWIz3_ciu1ra-ugJoog,"
              Shir Riggings
            "
175,My brain during the video: that lady could do a voice over for an Apple product video...,"
    44
  ",7 months ago,/channel/UC49pudcwkE2nX9_CNOkGJLw,"
              Shadil GH
            "
176,"My brain will not be same?

My brain literally the next day : Who am I again?","
    14
  ",2 months ago,/channel/UCq6AcL9sCiN-cVYwbB9Bunw,"
              Valiant Warrior
            "
177,"""Everything you do, everything you encounter and everything you experience is changing your brain."" I love these lines.","
    1.5K
  ",1 year ago,/channel/UCi3gF91c_YyrZxDjc9b7A_A,"
              Riad Edu.
            "
178,"""Build the brain you want."" Too cheesy after just stating that you can't learn every type of skill as effectively. But neuroplasticity is remarkable though. You should check the pictures of the brain after someone lost a finger. You can see the brain mass for 5 fingers being redivided by 4, so growing bigger per finger.","
    28
  ",8 months ago,/channel/UCGzqt38_jubAjDkHn295YTA,"
              Snamco SAX Music
            "
179,"After watching the Lara's boots, your brain will not be the same.","
    10
  ",4 months ago,/channel/UCErLJR70ZsY7pHcjoUkcmeg,"
              romathinio
            "
180,"it's funny because the brain literally changes, well played","
    0
  ",2 days ago,/channel/UCOPI_e338nfjRY-UzHL0PSg,"
              Rafael Gomes
            "
181,Thank you so much for teaching:),"
    4
  ",2 months ago,/channel/UC99MnGmwbH2T6HXjUmHx6oA,"
              Punnarooth Srimongkolsilp
            "
182,I starded watching Tedx's videos to improve my linstening but I've been learning a lot of precious informations so far! 😍 Thanks!,"
    2.1K
  ",1 year ago,/channel/UChBgp18QKXeTI85dW829RYw,"
              Luiz Gustavo
            "
183,Brain is an amazing memory connected with neurons,"
    0
  ",2 days ago,/channel/UCJncB2mnAF3_kFthsHwCNJw,"
              Fathima Rafaha
            "
184,I want to be like her when I grow up,"
    4
  ",4 months ago,/channel/UC6-08JAgRNukaWek_wg81bw,"
              Lil Moni
            "
185,When she said go out and build the brain you want  I felt that  ... felt redesign accomplish,"
    23
  ",4 months ago,/channel/UCBwDWcLzcmncXjjid_PC8BQ,"
              Neeloy Chitan
            "
186,My prof discussed this during our Ergo class. It is all about Cognitive skills and how brain process the informations. This video helps me a lot.,"
    8
  ",3 months ago,/channel/UCzJvjWA64JvGuBBj5PvS7OQ,"
              shayne echaluce
            "
187,"Spoiler alert: To learn, practice. Everyone learns differently.","
    1K
  ",5 years ago,/channel/UCIG9GPNvPmfBGlvo5a8ASGg,"
              Art Vaughan
            "
188,We have the most advanced and most developed  brain on earth😍😍😍😍🌎🌍,"
    4
  ",3 months ago,/channel/UCQ5quWfyceY0VH6k6J1AU5A,"
              Ishu singh
            "
189,"the most complex organ in our body- Brain 
""Practice makes everything happen""","
    1
  ",2 months ago,/channel/UCy8kqOXG6Y_r8iky3tpbj5A,"
              Krushna Kale
            "
190,"Wow my brain did change, it feels smoother, more elastic and incredible.","
    14
  ",7 months ago,/channel/UCrAFdxofFLcbQda-K9eWIbA,"
              Marina Stegantseva
            "
191,"Indian education system suicides after knowing ""everyone brain is different, and different people require different pattern of education for effective learning ""","
    50
  ",7 months ago,/channel/UCP1xg3mEHG8qagQ8WMLqzkQ,"
              Ayush Agrawal
            "
192,"Brief:
Three levels of changes in neuroplasticity for learning:
* chemical changes for short-term memory,
* structure changes for long-term memory,
* functional changes for shifting brain areas.

The most interesting ideas are that: 
* our brain will be shaped structurally and functionally by our behavior!
* difficulty during practicing lead to more changes in the brain (more efficient?)

Everyone is his own designer for his brain and be aware of our daily habit!

Hope you learn new skills more effictively.","
    2K
  ",2 years ago,/channel/UCjoOfuSSs0NTVKlbzvs1cTg,"
              Ming
            "
193,I ignored the 14 minutes of her speech waiting for her to use the tv remote in her hand.,"
    3
  ",3 weeks ago,/channel/UCtjkthmJkzftqEJiFZheJUQ,"
              2o7
            "
194,This is the coolest thing i've ever watched.,"
    8
  ",5 months ago,/channel/UCX41oETYarepO4VJ1sF0Iyg,"
              Aaron Castro
            "
195,Their research is limited to the physical form of human body,"
    5
  ",1 week ago,/channel/UCUmlf3pJMQePowLJaUnTRAA,"
              Sum Sam
            "
196,"14:25 (stroke; maybe the brain should have been protected from the shock of a hazard   leading up to the stroke to prevent long-term damage ) , they give you pills AFTER a stroke to help the brain recover from shock or soften up? by then it's too late...","
    0
  ",2 days ago,/channel/UC70uz1DnoYtDE9JchvZjdZg,"
              Chike Henderson
            "
197,"“If you tell a big enough lie and tell it frequently enough, it will be believed.”","
    780
  ",4 years ago,/channel/UCxM8eufNiW9TZ_clrdLix5Q,"
              Voice of Reason
            "
198,Incredibly the most informative 14:24 minutes of my life,"
    0
  ",1 week ago (edited),/channel/UCUHOt_T1OJ6UhIZxMx-zWBQ,"
              Asis Grg
            "
199,"13:14
Study how and what you learn best. 😁
Repeat those behaviors that are healthy for your brain, and break those behaviors and habits that are not.😉","
    1
  ",3 months ago,/channel/UCvpHNoCfZGaeYr47fFVeO3A,"
              Armeah Francisco
            "
200,The most significant lecture I have ever received,"
    3
  ",2 months ago,/channel/UCVERgJHwUY__R_GbqB9Au3A,"
              Eliran Neeman
            "
201,This is the best ted talk because she is a professor and might lecturing on this topic probably on daily basis for hours and hours. So its just a piece of cake for her to speak on the same topic for 20 minutes only,"
    1
  ",4 days ago,/channel/UCQUXvaFAXuevYYicD7982jw,"
              Wahidullah Abaseen
            "
202,"I am going to save your 15 minutes. Please save your time. "" Practice makes you perfect"". 😁","
    7K
  ",2 years ago,/channel/UCcQRiCiabv8busp7Br9XcBg,"
              The Godfather
            "
203,Listening to this in the year 2021... We are legends🤗,"
    14
  ",5 months ago (edited),/channel/UCymxpZonvXmSM12klz2pxnw,"
              Sultan Pn2
            "
204,I didn't understand anything but it was very interesting 😃,"
    2
  ",6 months ago,/channel/UCJ1ljf5XMYjPOeIlO7wE1UA,"
              alex
            "
205,This research is so insightful. Thank you.,"
    2
  ",6 months ago,/channel/UCuqR7MSZaZ5HXYpSsfSgpuQ,"
              Understanding Narcissism, by Elizabeth Shaw.
            "
206,"I thank you Lara Boyd for motivating my daughter when thing went really had for her.
It was really so bad that she attempted committing murder until you invited Mrs Lyra Holt Dean for your TED show program.
Am really so grateful for her finical assistance in my daughters life thank you so much once again.","
    65
  ",4 months ago,/channel/UCKvWIoQ_471oiCHyEEWdQZA,"
              Seth Rollins
            "
207,I always figured the short term memory is cool.  I would not want to remember my shopping lists for life.,"
    746
  ",3 years ago,/channel/UCWMgMTF3PqCwKMbW9EkgN7A,"
              Gary
            "
208,"Everything you do, Everything you encounter and everything you experience is changing your brain","
    26
  ",7 months ago,/channel/UCaDEIBU165kgLNdybqpoG9A,"
              Uwagaba Joseph Caleb
            "
209,🇹🇷 Öğrenmeyi bırakmayın.👏👏,"
    2
  ",2 months ago,/channel/UCvUYZCubitJ9PfZLmxOQLBQ,"
              Dilan Çoban
            "
210,I’m really curious of that !,"
    1
  ",4 months ago,/channel/UCU6uWDBWH16ltJrJVhPYmqA,"
              s c
            "
211,TIL Mr Fantastic has a great memory.,"
    1
  ",7 months ago,/channel/UCd08Joz3pQ0W54E3wqCCRbw,"
              Steve Cavanagh
            "
212,"""Genius is not about genetics, genius is about practice."" Robin Sharma","
    684
  ",1 year ago,/channel/UC6M1H2Y_BCXyo_PPBdN5BYw,"
              Explorer 4
            "
213,this speech changes the way i am thinking about everything,"
    6
  ",3 months ago,/channel/UCC6TBGchU4J4Kq8A46ySd3Q,"
              mohammad noor
            "
214,"Having done Foster Care for years, my fighting was with schools explaining they’re alllll different and learn different","
    5
  ",3 months ago,/channel/UCV4ZudH6c8KrBeNtgvWsTsA,"
              Marna Squires
            "
215,"Please talk about Schizopernia, Anxiety and Depression.","
    12
  ",4 months ago,/channel/UCzpuYY47ZT50W41DkqOsX4w,"
              Carmen Yasothaa
            "
216,I learn....I think then I am changing the mecanism of my brain........it keeps changing day after day,"
    2
  ",2 days ago,/channel/UCoZ1Nrk-fAFYxaWkyz0aNfQ,"
              younes Halim
            "
217,"Points:
Neuroplasticity is supported by chemical, structural and functional changes.
The primary driver for neuroplastic change in the brain is behavior. Nothing is more effective for changing the brain than practice.
Patterns of neuroplasticity can vary dramatically from person to person.
Neuroplastic change can be positive or negative. The brain is shaped by what we do and what we don't do.","
    1.1K
  ",4 years ago (edited),/channel/UClcvfCMEzVZVFMdDUo7Iw-A,"
              cxa011500
            "
218,Hyperbaric chamber or stemcell therapy helps with strokes. Amazingly.,"
    1
  ",7 months ago,/channel/UCsC6bmBO__zSIuVXvo3Sq6A,"
              Scottybeammeup2
            "
219,Your brain is never the same anyway. Its like a flowing river.,"
    4
  ",6 months ago,/channel/UCCLhC6KK_b9hD2y73uTduKg,"
              Rok Podlogar
            "
220,her arm is more muscular than mine lmao,"
    1
  ",5 months ago,/channel/UC2CJkTummvqpzFCSaR5FesQ,"
              OmuRyze
            "
221,"Before watching the video, I thought the title meant I would come to new realizations or open my mind to new possibilities. But no, my brain has quite literally changed after watching this video lol","
    0
  ",1 month ago,/channel/UCY-rvpKBw7H4fqC5LR_Kvbg,"
              Ella
            "
222,"""the brain is the most important organ in the human body""

- the brain.","
    3.9K
  ",4 months ago,/channel/UCHfWQxe5ptg7JZoUhO8z2Rw,"
              SAFWANE
            "
223,If you are listening to this during quarantine you are officially a legend,"
    3.9K
  ",6 months ago,/channel/UC4GQ8I7kK5VDw1vJzKioYTg,"
              Key Epic
            "
224,*science: everybody learns differently.  *education system:  imma ignore that.,"
    2.3K
  ",5 months ago,/channel/UCG6-prp7nc-ms6bqBltz81w,"
              Felix A.
            "
225,My brain is just like the Burmoda triangle where information goes but never found again😂,"
    1.4K
  ",7 months ago,/channel/UCYo_j6-gcn4z6RFZeI_ImFw,"
              Amjad Khan Yousafzai
            "
226,TED talks: the only videos where clickbait titles don't disappoint,"
    2K
  ",7 months ago,/channel/UC184FoN3pcyAiENclLgaHVA,"
              John Ponce
            "
227,After watching literally anything your brain is not the same ...,"
    8.5K
  ",4 years ago,/channel/UCGg7sieCe-yCcl67QNlVsrQ,"
              Leo Koutakis
            "
228,"Lemme Summaries this:- 
""Everything you do, everything you encounter and everything you experience is changing your brain."" 
Mic Drop!🎤","
    401
  ",4 months ago,/channel/UCsJSqu2_a2lwYg3PZmkO8Cw,"
              Bigyan Patel
            "
229,"To whoever reading this, I pray for your health, wealth, happiness, strength and peace of mind. Have a wonderful day:)","
    1.5K
  ",6 months ago,/channel/UCBRPtKG-2hNmrYCid6OBaww,"
              Krithika Ramakrishnan
            "
230,Amazing this truely shifts my perspective on learning,"
    22
  ",4 months ago,/channel/UCrfPIyyGHufzvJi5Abl-2aQ,"
              True CaliDad
            "
231,"Excellent talk. I'll listen to her 5 more times and then I'll be changed. Of all the things I've lost, it's my brain I miss the most.","
    19
  ",5 months ago,/channel/UCBcsaLVox_kPGer7X8HrzWg,"
              Dennis Francisco
            "
232,The brain is the most important organ in the body...according to the brain.,"
    15K
  ",4 years ago,/channel/UC_ASDPz91mPCfk1gvGqN4ZQ,"
              Open Air Adventure
            "
233,"15 minutes in 1 sentence: ur brain can change, end of story","
    471
  ",7 months ago,/channel/UCBnJpspc8WXUx6aJ8doI2Rg,"
              Filmdude
            "
234,"“When you leave today, go out and build the brain you want”

Manifest and PRACTICE the positive things that will give a healthy long term life for your brain. This really changed my perspective moving forward. I’m so glad I came across this!","
    136
  ",2 months ago,/channel/UCHWIE2NZRyaSNebbw6IFRFA,"
              Alex S
            "
235,"After watching this, everytime I study I'll say ""I'm changing the structure of my brain""","
    115
  ",4 months ago,/channel/UCMpBGOz2CjgZnl_Y8VWREZA,"
              Ar Az
            "
236,"9 minutes in and I'm still clueless, my brain just can't","
    117
  ",5 months ago,/channel/UCv24q7CUzBghl_z2ZE85axg,"
              Lebitso Mokhina
            "
237,When will ted himself show up to the talk?,"
    2.8K
  ",8 months ago,/channel/UCuFVb0w0jD4cDS4vn0Le39w,"
              Ravindra Banchhod
            "
238,"""There's no point having a mind if you cannot change it""

James O'brien LBC radio","
    74
  ",1 month ago,/channel/UCOnKXn9SRcThyS0qKy5qrDg,"
              d Lon
            "
239,So basically meditation and internal positive talk is magic,"
    69
  ",3 months ago,/channel/UC-V5xJyDZdeuXioBXkyw3UA,"
              Br Lb
            "
240,"This is what scares me😂, you keep changing over time forgetting skills you spend a lot of time learning","
    5
  ",2 weeks ago,/channel/UCbKvndIQ_YTOq5N30EnVqcg,"
              Elvis Edison
            "
241,"""Go out and build the brain you want"" 🤩🤩🤩","
    46
  ",3 months ago,/channel/UCzgyNR8HpvtV4suMaI-RXjA,"
              Yoanna Salazar
            "
242,"So main point:
1. Practice - hard work works
2. Everyone learns differently 

That is why we need personalised education!","
    2.7K
  ",5 years ago,/channel/UCYw05gb3c3F54TitmSNnfMw,"
              Milind Joshi
            "
243,"I agree that everyone learns in a different way. For instance, I consider myself a good reader, I can write, but my brain does not allow me to understand the content of texts (even written by myself), I have almost no short term memory or processing memory. This makes it very hard to learn anything via normal education. But somehow by creating all kinds of tools for myself, I managed to get a degree on university level.
I could imagine that people who had a stroke could have the same problem. In that case 'work hard and then you learn something because the chemical changes in your brain' doesn't really apply. The focus should be on giving people  tools to be able to process the information properly before they start learning anything.","
    0
  ",12 hours ago,/channel/UCWofBiiSGYy7kPDUb1deevQ,"
              Pawz
            "
244,"Look, how much confidence she have
In fromt of speaking 1000s of people","
    59
  ",5 months ago,/channel/UC_eveoWQzkV9ZimikVNsYhQ,"
              Ishwinder Singh291
            "
245,Conclusion: -Every brain is unique and requires its own personalized learning pattern. That insight unfortunately did not change my brain a lot.,"
    111
  ",7 months ago,/channel/UCLUzco5o31aYRk_lIbq0wzw,"
              Torbjörn Hornliden
            "
246,Lol when you think of quieting the mind and stop thinking you still thinking of not thinking you just can’t win😂,"
    0
  ",3 hours ago,/channel/UCOOLfD7gtSoeOtjdku78Eyg,"
              Hlogi Lehlogonolo
            "
247,Learning about the brain is just a brain trying to understand itself.,"
    2K
  ",1 year ago,/channel/UC5BbxaPL2hVXgZbffTg1tAA,"
              Arthur Adutt
            "
248,"The one thing that really helped me to fall in love with myself and my life was Forwago. I can not believe how much happier person I am now than I was before. Please love yourself, it is one of the easiest ways to dramatically improve your life.","
    2
  ",1 month ago,/channel/UChn0S2CnqB0Wu0hs7IGIQ5A,"
              FF.S Fima F96
            "
249,“Every champion was once a contender that didn’t give up.” – Gabby Douglas,"
    22
  ",1 month ago,/channel/UCY-Zhg50hu3KTko6A4rds5g,"
              2 Hours of Meditation
            "
250,Everything you see and hear changes you.  That's why I don't watch the news.,"
    38
  ",5 months ago,/channel/UCwM54DE14CKrGkYzTos1hAw,"
              Blondie 267
            "
251,"I can sum up her talk in one sentence: ""practice makes perfect"". Simple.","
    34
  ",6 months ago,/channel/UC_of_sqFmklXOV2r6q7-oBA,"
              Jay Social
            "
252,"To save you 15 minutes of your time, practicing a skill will help you learn it. You're welcome.","
    3.5K
  ",4 years ago,/channel/UCB5Jlo3gjW1l4G8iBI2zFrQ,"
              Keith Magee
            "
253,This was a good talk. But it’s sad how often neuroscientists overlook meditation and psilocybin.,"
    48
  ",5 months ago,/channel/UC6dSZGDFPZ1GxU2R7z5MNCw,"
              Curtis K
            "
254,"The brain is so complex it doesn't understand itself, think bout that.","
    944
  ",7 months ago,/channel/UCIaSBWIz3_ciu1ra-ugJoog,"
              Shir Riggings
            "
255,My brain during the video: that lady could do a voice over for an Apple product video...,"
    44
  ",7 months ago,/channel/UC49pudcwkE2nX9_CNOkGJLw,"
              Shadil GH
            "
256,"My brain will not be same?

My brain literally the next day : Who am I again?","
    14
  ",2 months ago,/channel/UCq6AcL9sCiN-cVYwbB9Bunw,"
              Valiant Warrior
            "
257,"""Everything you do, everything you encounter and everything you experience is changing your brain."" I love these lines.","
    1.5K
  ",1 year ago,/channel/UCi3gF91c_YyrZxDjc9b7A_A,"
              Riad Edu.
            "
258,"""Build the brain you want."" Too cheesy after just stating that you can't learn every type of skill as effectively. But neuroplasticity is remarkable though. You should check the pictures of the brain after someone lost a finger. You can see the brain mass for 5 fingers being redivided by 4, so growing bigger per finger.","
    28
  ",8 months ago,/channel/UCGzqt38_jubAjDkHn295YTA,"
              Snamco SAX Music
            "
259,"After watching the Lara's boots, your brain will not be the same.","
    10
  ",4 months ago,/channel/UCErLJR70ZsY7pHcjoUkcmeg,"
              romathinio
            "
260,"it's funny because the brain literally changes, well played","
    0
  ",2 days ago,/channel/UCOPI_e338nfjRY-UzHL0PSg,"
              Rafael Gomes
            "
261,Thank you so much for teaching:),"
    4
  ",2 months ago,/channel/UC99MnGmwbH2T6HXjUmHx6oA,"
              Punnarooth Srimongkolsilp
            "
262,I starded watching Tedx's videos to improve my linstening but I've been learning a lot of precious informations so far! 😍 Thanks!,"
    2.1K
  ",1 year ago,/channel/UChBgp18QKXeTI85dW829RYw,"
              Luiz Gustavo
            "
263,Brain is an amazing memory connected with neurons,"
    0
  ",2 days ago,/channel/UCJncB2mnAF3_kFthsHwCNJw,"
              Fathima Rafaha
            "
264,I want to be like her when I grow up,"
    4
  ",4 months ago,/channel/UC6-08JAgRNukaWek_wg81bw,"
              Lil Moni
            "
265,When she said go out and build the brain you want  I felt that  ... felt redesign accomplish,"
    23
  ",4 months ago,/channel/UCBwDWcLzcmncXjjid_PC8BQ,"
              Neeloy Chitan
            "
266,My prof discussed this during our Ergo class. It is all about Cognitive skills and how brain process the informations. This video helps me a lot.,"
    8
  ",3 months ago,/channel/UCzJvjWA64JvGuBBj5PvS7OQ,"
              shayne echaluce
            "
267,"Spoiler alert: To learn, practice. Everyone learns differently.","
    1K
  ",5 years ago,/channel/UCIG9GPNvPmfBGlvo5a8ASGg,"
              Art Vaughan
            "
268,We have the most advanced and most developed  brain on earth😍😍😍😍🌎🌍,"
    4
  ",3 months ago,/channel/UCQ5quWfyceY0VH6k6J1AU5A,"
              Ishu singh
            "
269,"the most complex organ in our body- Brain 
""Practice makes everything happen""","
    1
  ",2 months ago,/channel/UCy8kqOXG6Y_r8iky3tpbj5A,"
              Krushna Kale
            "
270,"Wow my brain did change, it feels smoother, more elastic and incredible.","
    14
  ",7 months ago,/channel/UCrAFdxofFLcbQda-K9eWIbA,"
              Marina Stegantseva
            "
271,"Indian education system suicides after knowing ""everyone brain is different, and different people require different pattern of education for effective learning ""","
    50
  ",7 months ago,/channel/UCP1xg3mEHG8qagQ8WMLqzkQ,"
              Ayush Agrawal
            "
272,"Brief:
Three levels of changes in neuroplasticity for learning:
* chemical changes for short-term memory,
* structure changes for long-term memory,
* functional changes for shifting brain areas.

The most interesting ideas are that: 
* our brain will be shaped structurally and functionally by our behavior!
* difficulty during practicing lead to more changes in the brain (more efficient?)

Everyone is his own designer for his brain and be aware of our daily habit!

Hope you learn new skills more effictively.","
    2K
  ",2 years ago,/channel/UCjoOfuSSs0NTVKlbzvs1cTg,"
              Ming
            "
273,I ignored the 14 minutes of her speech waiting for her to use the tv remote in her hand.,"
    3
  ",3 weeks ago,/channel/UCtjkthmJkzftqEJiFZheJUQ,"
              2o7
            "
274,This is the coolest thing i've ever watched.,"
    8
  ",5 months ago,/channel/UCX41oETYarepO4VJ1sF0Iyg,"
              Aaron Castro
            "
275,Their research is limited to the physical form of human body,"
    5
  ",1 week ago,/channel/UCUmlf3pJMQePowLJaUnTRAA,"
              Sum Sam
            "
276,"14:25 (stroke; maybe the brain should have been protected from the shock of a hazard   leading up to the stroke to prevent long-term damage ) , they give you pills AFTER a stroke to help the brain recover from shock or soften up? by then it's too late...","
    0
  ",2 days ago,/channel/UC70uz1DnoYtDE9JchvZjdZg,"
              Chike Henderson
            "
277,"“If you tell a big enough lie and tell it frequently enough, it will be believed.”","
    780
  ",4 years ago,/channel/UCxM8eufNiW9TZ_clrdLix5Q,"
              Voice of Reason
            "
278,Incredibly the most informative 14:24 minutes of my life,"
    0
  ",1 week ago (edited),/channel/UCUHOt_T1OJ6UhIZxMx-zWBQ,"
              Asis Grg
            "
279,"13:14
Study how and what you learn best. 😁
Repeat those behaviors that are healthy for your brain, and break those behaviors and habits that are not.😉","
    1
  ",3 months ago,/channel/UCvpHNoCfZGaeYr47fFVeO3A,"
              Armeah Francisco
            "
280,The most significant lecture I have ever received,"
    3
  ",2 months ago,/channel/UCVERgJHwUY__R_GbqB9Au3A,"
              Eliran Neeman
            "
281,This is the best ted talk because she is a professor and might lecturing on this topic probably on daily basis for hours and hours. So its just a piece of cake for her to speak on the same topic for 20 minutes only,"
    1
  ",4 days ago,/channel/UCQUXvaFAXuevYYicD7982jw,"
              Wahidullah Abaseen
            "
282,"I am going to save your 15 minutes. Please save your time. "" Practice makes you perfect"". 😁","
    7K
  ",2 years ago,/channel/UCcQRiCiabv8busp7Br9XcBg,"
              The Godfather
            "
283,Listening to this in the year 2021... We are legends🤗,"
    14
  ",5 months ago (edited),/channel/UCymxpZonvXmSM12klz2pxnw,"
              Sultan Pn2
            "
284,I didn't understand anything but it was very interesting 😃,"
    2
  ",6 months ago,/channel/UCJ1ljf5XMYjPOeIlO7wE1UA,"
              alex
            "
285,This research is so insightful. Thank you.,"
    2
  ",6 months ago,/channel/UCuqR7MSZaZ5HXYpSsfSgpuQ,"
              Understanding Narcissism, by Elizabeth Shaw.
            "
286,"I thank you Lara Boyd for motivating my daughter when thing went really had for her.
It was really so bad that she attempted committing murder until you invited Mrs Lyra Holt Dean for your TED show program.
Am really so grateful for her finical assistance in my daughters life thank you so much once again.","
    65
  ",4 months ago,/channel/UCKvWIoQ_471oiCHyEEWdQZA,"
              Seth Rollins
            "
287,I always figured the short term memory is cool.  I would not want to remember my shopping lists for life.,"
    746
  ",3 years ago,/channel/UCWMgMTF3PqCwKMbW9EkgN7A,"
              Gary
            "
288,"Everything you do, Everything you encounter and everything you experience is changing your brain","
    26
  ",7 months ago,/channel/UCaDEIBU165kgLNdybqpoG9A,"
              Uwagaba Joseph Caleb
            "
289,🇹🇷 Öğrenmeyi bırakmayın.👏👏,"
    2
  ",2 months ago,/channel/UCvUYZCubitJ9PfZLmxOQLBQ,"
              Dilan Çoban
            "
290,I’m really curious of that !,"
    1
  ",4 months ago,/channel/UCU6uWDBWH16ltJrJVhPYmqA,"
              s c
            "
291,TIL Mr Fantastic has a great memory.,"
    1
  ",7 months ago,/channel/UCd08Joz3pQ0W54E3wqCCRbw,"
              Steve Cavanagh
            "
